commit: e635c5e4fa87882d477227d5c1ac832dcad61616
kernel: Linux 7.0.0-31-generic #31-Ubuntu SMP PREEMPT_DYNAMIC Sat Aug  1 04:26:38 UTC 2026 x86_64
command: make lint test
PASS [binary] tests::stop_control_uses_recorded_id_on_stop_thread 0.071s
PASS [lab] config::tests::validates_arguments 0.060s
PASS [lab] config::tests::validates_environment_and_defaults 0.070s
PASS [lab] evidence::tests::evidence_files_are_create_new 0.060s
PASS [lab] ext4::commands::tests::cleanup_refuses_unexpected_entries_before_removing_backing 0.071s
PASS [lab] ext4::commands::tests::failed_and_timed_out_commands_preserve_output_and_reap_children 0.184s
PASS [lab] ext4::commands::tests::filesystem_commands_use_defaults_and_read_only_checks 0.071s
PASS [lab] ext4::commands::tests::runtime_preflight_requires_an_existing_private_owned_directory 0.060s
PASS [lab] ext4::commands::tests::suite_deadline_prevents_spawning_another_command 0.060s
PASS [lab] ext4::lifecycle::tests::readiness_never_accepts_arbitrary_devices_or_extra_output 0.060s
PASS [lab] ext4::tests::acceptance_plan_has_four_unmounted_checks_and_clean_restart 0.060s
PASS [lab] ext4::workload::tests::workload_verifies_exact_contents_and_rejects_corruption 0.111s
PASS [lab] fs_support::tests::mount_checks_reject_wrong_source_aliases_and_nested_mounts 0.061s
PASS [lab] fs_support::tests::only_generated_directory_names_are_accepted 0.060s
PASS [lab] fs_support::tests::parses_mountinfo_escapes_and_rejects_malformed_records 0.060s
PASS [lab] process_tests::descendant_leaf_child 0.060s
PASS [lab] process_tests::descendant_parent_child 0.060s
PASS [lab] process_tests::managed_child_drop_reaps_the_process 0.070s
PASS [lab] process_tests::managed_child_supports_exact_kill 0.070s
PASS [lab] process_tests::managed_child_supports_explicit_term_and_cleanup 0.071s
PASS [lab] process_tests::normal_child 0.061s
PASS [lab] process_tests::normal_exit_is_reported 0.061s
PASS [lab] process_tests::sleeping_child 0.070s
PASS [lab] process_tests::timeout_cleans_descendant_process_group 2.085s SLOW(>1s)
PASS [lab] process_tests::timeout_is_reported 0.183s
PASS [lab] suite::tests::classifies_and_formats_timings 0.061s
PASS [lab] suite::tests::parses_only_test_entries 0.070s
PASS [lab] ublk::tests::expected_geometry_matches_the_ublk_acceptance_shape 0.050s
PASS [lab] ublk::tests::ext4_geometry_is_validated_independently_of_fio_geometry 0.060s
PASS [lab] ublk::tests::fio_command_never_saves_verify_state_in_the_caller_directory 0.060s
PASS [lab] ublk::tests::installed_fio_accepts_constructed_commands 0.695s
PASS [lab] ublk::tests::owned_directory_requires_its_original_identity_and_marker 0.060s
PASS [lab] ublk::tests::parses_only_exact_canonical_device_paths 0.050s
PASS [lab] ublk::tests::validates_parameterized_sysfs_geometry_and_identity 0.060s
PASS [lab] ublk_fio::scenario::tests::every_exact_command_shape_has_expected_budget_and_seed 0.060s
PASS [lab] ublk_fio::scenario::tests::output_names_never_reuse_owned_paths 0.070s
PASS [lab] ublk_fio::scenario::tests::parses_only_required_fio_numeric_fields 0.070s
PASS [lab] ublk_fio::scenario::tests::restart_and_fault_transitions_are_explicit 0.050s
PASS [lab] ublk_fio::scenario::tests::scenario_count_repetitions_and_write_budgets_are_exact 0.060s
PASS [lab] ublk_fio::tests::cleanup_deletes_recorded_id_for_same_stopped_identity 0.070s
PASS [lab] ublk_fio::tests::cleanup_refuses_ambiguous_identity_and_preserves_backing 0.060s
PASS [lab] ublk_fio::tests::cleanup_refuses_changed_identity_and_preserves_backing 0.060s
PASS [lab] ublk_fio::tests::command_construction_is_exact_and_bounded 0.060s
PASS [lab] ublk_fio::tests::control_preflight_accepts_accessible_character_device 0.071s
PASS [lab] ublk_fio::tests::control_preflight_reports_inaccessible_node_observations_and_remedy 0.071s
PASS [lab] ublk_fio::tests::control_preflight_reports_missing_node_with_operator_command 0.061s
PASS [lab] ublk_fio::tests::control_preflight_reports_wrong_node_type 0.060s
PASS [lab] ublk_fio::tests::device_identity_states_distinguish_active_stopped_replaced_and_absent 0.060s
PASS [lab] ublk_fio::tests::empty_child 0.060s
PASS [lab] ublk_fio::tests::failed_fio_records_both_outputs_before_returning_status_error 0.060s
PASS [lab] ublk_fio::tests::kill_daemon_rejects_a_different_unsuccessful_exit 0.080s
PASS [lab] ublk_fio::tests::kill_daemon_requires_and_records_exact_sigkill 0.070s
PASS [lab] ublk_fio::tests::partially_present_device_identity_is_ambiguous 0.071s
PASS [lab] ublk_fio::tests::preflight_failure_creates_no_evidence_temp_or_device_resource 0.080s
PASS [lab] ublk_fio::tests::readiness_polls_fake_roots_and_current_exe_child 0.101s
PASS [lab] ublk_fio::tests::readiness_reports_early_exit_and_timeout 0.131s
PASS [lab] ublk_fio::tests::readiness_times_out_while_device_access_remains_permission_denied 0.111s
PASS [lab] ublk_fio::tests::readiness_validates_identity_before_retrying_permission_denied_access 0.111s
PASS [lab] ublk_fio::tests::readiness_writer_child 0.061s
PASS [lab] ublk_fio::tests::remove_after_kill_changed_identity_never_retries_into_deletion 0.060s
PASS [lab] ublk_fio::tests::remove_after_kill_preserves_last_persistent_ambiguity_without_delete 0.060s
PASS [lab] ublk_fio::tests::remove_after_kill_retries_partial_identity_until_stopped_matching 0.060s
PASS [lab] ublk_fio::tests::sleeping_child 0.070s
PASS [lab] ublk_fio::tests::unsuccessful_child 0.060s
PASS [lab] ublk_fio::tests::validates_owned_backing_path_identity_and_size 0.060s
PASS [mount-helper] fs_support::tests::mount_checks_reject_wrong_source_aliases_and_nested_mounts 0.071s
PASS [mount-helper] fs_support::tests::only_generated_directory_names_are_accepted 0.050s
PASS [mount-helper] fs_support::tests::parses_mountinfo_escapes_and_rejects_malformed_records 0.070s
PASS [mount-helper] tests::helper_rejects_paths_options_and_arbitrary_device_names 0.060s
PASS [mount-helper] tests::helper_requires_kernel_ownership_unprivileged_flag_and_exact_geometry 0.070s
[doc] no tests
exit_status: 0
